AECX1101,AECX1102,AECX1107,AZZX0011,AECX1104
4403000000023042,铁岗,0755-27960125,西乡街道,宝安区西乡街道铁岗社区铁岗西路2号
4403000000023043,麻布,0755-29611457,西乡街道,宝安区海城路麻布居委会
4403000000023044,径贝,0755-29636306,西乡街道,宝安区西乡街道径贝新村同富楼A栋二楼
4403000000023045,劳动,0755-27912303,西乡街道,宝安区西乡街道西乡大道288号宝源华丰总部经济大厦一楼
4403000000023046,流塘,0755-27944819,西乡街道,宝安区西乡街道流塘社区新村路8号
4403000000023047,桂香,0755-21030247,观澜街道,龙华区观澜街道桂花第二市场26号、27号
4403000000023048,西乡,0755-27949890,西乡街道,宝安区西乡街道鸣乐街十三栋后座西乡社区居委会
4403000000023049,龙珠,0755-27951398,西乡街道,宝安区西乡街道龙吟二路189号
4403000000023050,柳竹,0755-27954795,西乡街道,宝安区西乡河东路1号柳竹社区居委会
4403000000023051,马峦,0755-28826798,马峦街道,坪山区马峦街道马峦南路8号天峦湖花园1栋负一层马峦社区工作站（马峦小学旁）
4403000000023052,桃源,0755-29231869,西乡街道,宝安区西乡街道前进二路桃源居世外桃源9区桃源社区工作站
4403000000023053,富华,0755-29956924,西乡街道,宝安区西乡街道锦花路天骄世家会所二楼
4403000000023054,老坑,0755-84116022,龙田街道,坪山区龙田街道老坑盘龙路15号
4403000000023055,光明,0755-27122444,光明街道,光明区光明街道华夏路40号
4403000000023056,翠湖,0755-27433833,光明街道,光明区光明街道碧园路55号
4403000000023057,九围,0755-23074367,航城街道,宝安区航城街道九围活动中心2楼
4403000000023058,黄田,0755-29913168,航城街道,宝安区航城街道黄田社区利达路北金碧工业区2号综合楼一、二楼
4403000000023059,钟屋,0755-23018069,航城街道,宝安区航城街道钟屋社区钟屋一路73号
4403000000023060,鹤洲,0755-27478989,航城街道,宝安区航城街道鹤洲社区鹤洲路19号
4403000000023061,后瑞,0755-27502707,航城街道,宝安区航城街道后瑞社区凯成一路1号
4403000000023062,迳口,0755-27436670,光明街道,光明区光明街道迳口路迳口新村100号
4403000000023063,三围,0755-27476363,航城街道,宝安区航城街道三围社区三围北路2号
4403000000023064,利锦,0755-27513716,航城街道,宝安区航城街道107国道广深路西乡段652号
4403000000023065,福永,0755-27392907,福永街道,宝安区福永社区西环路13号
4403000000023066,凤凰,0755-27388566,福永街道,宝安区凤凰社区凤凰山大道98号
4403000000023067,怀德,0755-27332382,福永街道,宝安区福永街道福永大道170号
4403000000023068,福围,0755-27301260,福永街道,宝安区福永街道福围社区拾业路18号
4403000000023069,碧眼,0755-27403955,光明街道,光明区光明街道碧眼新村200号碧眼社区综合服务楼
4403000000023070,东周,0755-27404486,光明街道,光明区光明街道柑山区2号
4403000000023080,聚福,0755-27391901,福永街道,宝安区福永街道万福人家天乐阁B座二楼
4403000000023081,新和,0755-27302060,福海街道,宝安区福海街道新和社区悦盛二路2号
4403000000023082,塘尾,0755-85279910,福海街道,宝安区福海街道塘尾社区迎春路2号
4403000000023083,和平,0755-29919630,福海街道,宝安区福海街道和平社区建欣路1号
4403000000023084,桥头,0755-27305771,福海街道,宝安区桥头鸿德园西门1-15号
4403000000023087,稔田,0755-29502802,福海街道,宝安区福海街道稔田社区旧路98号
4403000000023088,新田,0755-27313993,福海街道,宝安区福海街道新田社区凤塘大道39号
4403000000023089,蚝一,0755-23012640,沙井街道,宝安区民主大道濠景城花园一楼商铺139-156号
4403000000023090,蚝二,0755-27221062,沙井街道,宝安区沙井街道蚝二学府花园商业街130号
4403000000023091,上村,0755-27738775,公明街道,光明区公明街道北环路2号
4403000000023092,新羌,0755-29751116,新湖街道,光明区新湖街道新陂头新南区1号
4403000000023093,沙一,0755-23576871,沙井街道,宝安区沙井街道西环路建艺装饰材料城二楼沙一社区工作站
4403000000023094,沙二,0755-27214196,沙井街道,宝安区沙井街道沙三路冠群苑1-3层沙二社区党群服务中心
4403000000023095,沙三,0755-27209213,沙井街道,宝安区沙井街道沙三社区开发路33号德馨苑4栋1、3层
4403000000023096,沙四,0755-23016990,沙井街道,宝安区沙井街道沙四社区北环路上善居一楼004号商铺
4403000000023097,衙边,0755-23237883,沙井街道,宝安区沙井街道岗胜路56-9号
4403000000023098,沙头,0755-27204121,沙井街道,沙井中熙香莎公馆1栋商业及公共配套01层80号房、二楼89号房
4403000000023099,大王山,0755-23202550,沙井街道,宝安区沙井街道大王山工业二路（百合雅苑）三楼大王山社区党群服务中心
4403000000023100,马安山,0755-27220684,沙井街道,宝安区沙井街道马安山社区西区111号
4403000000023101,辛养,0755-29693006,沙井街道,宝安区沙井街道环镇路145号-1辛养党群服务中心
4403000000023102,东塘,0755-27281631,沙井街道,宝安区沙井街道东塘大街9号
4403000000023103,和一,0755-81722938,沙井街道,宝安区沙井街道和一社区和二一路39-1号和悦苑一二层
4403000000023104,楼村,0755-27116441,新湖街道,光明区新湖街道楼村社区绘猫路38
4403000000023105,共和,0755-23235881,沙井街道,宝安区沙井街道共和第二工业区A区1栋
4403000000023106,凤凰,0755-27405379,凤凰街道,光明区凤凰街道凤凰社区光侨大道2580
4403000000023107,后亭,0755-23213244,沙井街道,宝安区沙井街道后亭社区大埔中路115-11
4403000000023085,沙井,0755-27728643,沙井街道,宝安区沙井街道环镇路(南)129号
4403000000023086,壆岗,0755-23016683,沙井街道,宝安区沙井街道壆岗大道228号
4403000000023108,上寮,0755-27279160,新桥街道,宝安区新桥街道广深路253号
4403000000023109,合水口,0755-23427603,马田街道,光明区马田街道合水口社区松白路5096号
4403000000023110,新桥,0755-27279250,新桥街道,宝安区新桥街道北环路110号新桥综合办公楼2楼
4403000000023111,新二,0755-27279371,新桥街道,宝安区新桥街道新二社区南美西路26号
4403000000023112,黄埔,0755-27279117,新桥街道,宝安区沙井街道东环路193号
4403000000023113,万丰,0755-27279319,新桥街道,宝安区新桥街道万丰社区万丰中路469号
4403000000023114,沙企,0755-29883283,新桥街道,宝安区沙井街道沙井中心区丽沙花都西门一楼（五支旗杆后面）
4403000000023115,东方,0755-29898286,松岗街道,宝安区东方股份合作公司大楼一、二楼
4403000000023116,松涛,0755-27716721,松岗街道,宝安区松岗街道河滨南路1号
4403000000023041,凤凰岗,0755-27781671,西乡街道,宝安区西乡街道凤凰岗社区宝田一路152号
4403000000023117,马山头,0755-23191206,马田街道,光明区马田街道马山头社区马山头路18号
4403000000023118,朗下,0755-27138980,松岗街道,宝安区沙江路与高速桥辅道交叉口北150米朗下社区中海西岸华府北区12栋B座一楼（朗下社区党群服务中心）
4403000000023119,红星,0755-27092663,松岗街道,宝安区红星大道13号红星社区党群服务中心大楼
4403000000023120,江边,0755-27137337,松岗街道,宝安区松岗街道江边社区工作站（松兴路江边村委公交站旁边）
4403000000023121,花果山,0755-27710819,松岗街道,宝安区松岗街道环城路花果山商场二巷2号
4403000000023122,坝光,0755-84234862,葵涌办事处,大鹏新区葵涌办事处丰树山路1号坝光新村8号楼6楼
4403000000023123,高源,0755-84207233,葵涌办事处,大鹏新区葵涌办事处金葵东路北5号1楼
4403000000023124,楼岗,0755-23074686,松岗街道,宝安区松岗街道楼岗大道46号办公大楼二楼
4403000000023125,潭头,0755-27061315,松岗街道,宝安区松岗街道潭头社区工作站（潭头西路66号附近）
4403000000023126,碧头,0755-27053148,松岗街道,宝安区松岗街道碧头社区许屋路2号党群服务中心大楼（原治安综合大楼）
4403000000023127,溪涌,0755-84235280,葵涌办事处,大鹏新区葵涌办事处溪坪南路19号1楼
4403000000023128,罗田,0755-29936552,燕罗街道,宝安区燕罗街道罗田社区燕罗公路118号
4403000000023129,燕川,0755-23008032,燕罗街道,宝安区燕罗街道燕川社区红湖路33号
4403000000023130,山门,0755-27713355,燕罗街道,宝安区燕罗街道山门社区山门路麒麟花园A栋一至二楼
4403000000023131,洪桥头,0755-27058510,燕罗街道,宝安区燕罗街道洪桥头社区洪桥头路4号
4403000000023132,塘下涌,0755-29930609,燕罗街道,宝安区燕罗街道塘下涌社区众福路12号
4403000000023133,水田,0755-29519657,石岩街道,宝安区石岩街道宝石东路8号祝龙田股份公司大楼三楼
4403000000023134,石龙,0755-81793596,石岩街道,宝安区石龙社区德政路春晖苑二楼
4403000000023135,官田,0755-27760263,石岩街道,宝安区官田社区北环路大树林公园路1号
4403000000023136,上屋,0755-29001993,石岩街道,宝安区石岩街道上屋大道9号上屋社区工作站
4403000000023137,龙腾,0755-27645002,石岩街道,宝安区石岩街道光明路1号
4403000000023138,浪心,0755-29820276,石岩街道,宝安区石岩街道塘头大道200号
4403000000023139,罗租,0755-29170308,石岩街道,宝安区石岩街道同辉路罗租工作站三楼
4403000000023140,塘头,0755-29826665,石岩街道,宝安区石岩街道塘头大道15号
4403000000023141,应人石,0755-27624435,石岩街道,宝安区石岩街道应人石永新街1号
4403000000023142,平湖,0755-28854350,平湖街道,龙岗区平湖街道平湖社区高原路1号
4403000000023143,新木,0755-84673543,平湖街道,龙岗区平湖街道新木社区新木路229号
4403000000023144,辅城坳,0755-84694880,平湖街道,龙岗区平湖街道辅城坳社区岭南路139号
4403000000023145,鹅公岭,0755-28458061,平湖街道,龙岗区平湖街道鹅公岭社区园岭北路3号
4403000000023146,上木古,0755-84255991,平湖街道,龙岗区平湖街道上木古社区彩姿南路36号
4403000000023147,良安田,0755-84687505,平湖街道,龙岗区平湖街道良安田社区爱良路22号
4403000000023148,白坭坑,0755-84663197,平湖街道,龙岗区平湖街道白坭坑社区白银路77号
4403000000023149,山厦,0755-84659820,平湖街道,龙岗区平湖街道山厦社区山厦路69号
4403000000023150,新南,0755-28854780,平湖街道,龙岗区平湖街道新南社区平湖大街369号4栋
4403000000023153,凤凰,0755-84682668,平湖街道,龙岗区平湖街道凤凰社区平龙东路138号-1
4403000000023154,力昌,0755-28844677,平湖街道,龙岗区平湖街道力元路66号
4403000000023155,禾花,0755-28499289,平湖街道,龙岗区平湖街道禾花社区同富路8号
4403000000023156,布吉,0755-84182500,布吉街道,龙岗区布吉街道布吉莲花路135-1号
4403000000023157,水径,0755-28877161,吉华街道,龙岗区吉华街道水径社区吉华路237号大坡头综合楼六楼
4403000000023158,三联,0755-28520953,吉华街道,龙岗区吉华街道三联社区联布北路1号
4403000000023159,甘坑,0755-28303183,吉华街道,龙岗区吉华街道甘坑新村12巷8-1号
4403000000023160,布吉圩,0755-28273382,布吉街道,龙岗区布吉街道布吉中心广场B座20楼
4403000000023161,龙岭,0755-28288907,布吉街道,龙岗区布吉街道龙岭山庄丽廷豪苑二楼
4403000000023162,长龙,0755-28552513,布吉街道,龙岗区布吉街道长龙社区长龙新村二区六巷1号
