AECX1101,AECX1102,AECX1107,AZZX0011,AECX1104,Positions
4403000000023042,铁岗,0755-27960125,西乡街道,宝安区西乡街道铁岗社区铁岗西路2号,lng:113.886354|lat:22.600614
4403000000023043,麻布,0755-29611457,西乡街道,宝安区海城路麻布居委会,lng:113.871305|lat:22.57139
4403000000023044,径贝,0755-29636306,西乡街道,宝安区西乡街道径贝新村同富楼A栋二楼,lng:113.877846|lat:22.56741
4403000000023045,劳动,0755-27912303,西乡街道,宝安区西乡街道西乡大道288号宝源华丰总部经济大厦一楼,lng:113.861808|lat:22.572361
4403000000023046,流塘,0755-27944819,西乡街道,宝安区西乡街道流塘社区新村路8号,lng:113.806306|lat:22.687223
4403000000023047,桂香,0755-21030247,观澜街道,龙华区观澜街道桂花第二市场26号、27号,lng:114.056603|lat:22.744667
4403000000023048,西乡,0755-27949890,西乡街道,宝安区西乡街道鸣乐街十三栋后座西乡社区居委会,lng:113.877109|lat:22.572523
4403000000023049,龙珠,0755-27951398,西乡街道,宝安区西乡街道龙吟二路189号,lng:113.87864|lat:22.580263
4403000000023050,柳竹,0755-27954795,西乡街道,宝安区西乡河东路1号柳竹社区居委会,lng:113.878625|lat:22.570807
4403000000023051,马峦,0755-28826798,马峦街道,坪山区马峦街道马峦南路8号天峦湖花园1栋负一层马峦社区工作站（马峦小学旁）,lng:114.352206|lat:22.667379
4403000000023052,桃源,0755-29231869,西乡街道,宝安区西乡街道前进二路桃源居世外桃源9区桃源社区工作站,lng:113.860716|lat:22.614363
4403000000023053,富华,0755-29956924,西乡街道,宝安区西乡街道锦花路天骄世家会所二楼,lng:113.89139|lat:22.587802
4403000000023054,老坑,0755-84116022,龙田街道,坪山区龙田街道老坑盘龙路15号,lng:114.358476|lat:22.726672
4403000000023055,光明,0755-27122444,光明街道,光明区光明街道华夏路40号,lng:113.944676|lat:22.753055
4403000000023056,翠湖,0755-27433833,光明街道,光明区光明街道碧园路55号,lng:113.947903|lat:22.759511
4403000000023057,九围,0755-23074367,航城街道,宝安区航城街道九围活动中心2楼,lng:113.843369|lat:22.629662
4403000000023058,黄田,0755-29913168,航城街道,宝安区航城街道黄田社区利达路北金碧工业区2号综合楼一、二楼,lng:113.845173|lat:22.62381
4403000000023059,钟屋,0755-23018069,航城街道,宝安区航城街道钟屋社区钟屋一路73号,lng:113.845698|lat:22.621391
4403000000023060,鹤洲,0755-27478989,航城街道,宝安区航城街道鹤洲社区鹤洲路19号,lng:113.86205|lat:22.627892
4403000000023061,后瑞,0755-27502707,航城街道,宝安区航城街道后瑞社区凯成一路1号,lng:113.833107|lat:22.632904
4403000000023062,迳口,0755-27436670,光明街道,光明区光明街道迳口路迳口新村100号,lng:113.966529|lat:22.764296
4403000000023063,三围,0755-27476363,航城街道,宝安区航城街道三围社区三围北路2号,lng:113.845254|lat:22.614946
4403000000023064,利锦,0755-27513716,航城街道,宝安区航城街道107国道广深路西乡段652号,lng:113.842275|lat:22.636306
4403000000023065,福永,0755-27392907,福永街道,宝安区福永社区西环路13号,lng:113.811912|lat:22.665506
4403000000023066,凤凰,0755-27388566,福永街道,宝安区凤凰社区凤凰山大道98号,lng:113.840558|lat:22.688285
4403000000023067,怀德,0755-27332382,福永街道,宝安区福永街道福永大道170号,lng:113.816508|lat:22.666766
4403000000023068,福围,0755-27301260,福永街道,宝安区福永街道福围社区拾业路18号,lng:113.821914|lat:22.650656
4403000000023069,碧眼,0755-27403955,光明街道,光明区光明街道碧眼新村200号碧眼社区综合服务楼,lng:113.949314|lat:22.757762
4403000000023070,东周,0755-27404486,光明街道,光明区光明街道柑山区2号,lng:113.938889|lat:22.763497
4403000000023080,聚福,0755-27391901,福永街道,宝安区福永街道万福人家天乐阁B座二楼,lng:113.825064|lat:22.668145
4403000000023081,新和,0755-27302060,福海街道,宝安区福海街道新和社区悦盛二路2号,lng:113.805157|lat:22.667757
4403000000023082,塘尾,0755-85279910,福海街道,宝安区福海街道塘尾社区迎春路2号,lng:113.811617|lat:22.702682
4403000000023083,和平,0755-29919630,福海街道,宝安区福海街道和平社区建欣路1号,lng:113.792064|lat:22.690049
4403000000023084,桥头,0755-27305771,福海街道,宝安区桥头鸿德园西门1-15号,lng:113.802384|lat:22.689088
4403000000023087,稔田,0755-29502802,福海街道,宝安区福海街道稔田社区旧路98号,lng:113.831988|lat:22.700884
4403000000023088,新田,0755-27313993,福海街道,宝安区福海街道新田社区凤塘大道39号,lng:113.829694|lat:22.694638
4403000000023089,蚝一,0755-23012640,沙井街道,宝安区民主大道濠景城花园一楼商铺139-156号,lng:113.79008|lat:22.736379
4403000000023090,蚝二,0755-27221062,沙井街道,宝安区沙井街道蚝二学府花园商业街130号,lng:113.796827|lat:22.739473
4403000000023091,上村,0755-27738775,公明街道,光明区公明街道北环路2号,lng:113.912693|lat:22.783948
4403000000023092,新羌,0755-29751116,新湖街道,光明区新湖街道新陂头新南区1号,lng:113.943884|lat:22.799125
4403000000023093,沙一,0755-23576871,沙井街道,宝安区沙井街道西环路建艺装饰材料城二楼沙一社区工作站,lng:113.801913|lat:22.73797
4403000000023094,沙二,0755-27214196,沙井街道,宝安区沙井街道沙三路冠群苑1-3层沙二社区党群服务中心,lng:113.797253|lat:22.740819
4403000000023095,沙三,0755-27209213,沙井街道,宝安区沙井街道沙三社区开发路33号德馨苑4栋1、3层,lng:113.804355|lat:22.742996
4403000000023096,沙四,0755-23016990,沙井街道,宝安区沙井街道沙四社区北环路上善居一楼004号商铺,lng:113.806193|lat:22.747433
4403000000023097,衙边,0755-23237883,沙井街道,宝安区沙井街道岗胜路56-9号,lng:113.813567|lat:22.743693
4403000000023098,沙头,0755-27204121,沙井街道,沙井中熙香莎公馆1栋商业及公共配套01层80号房、二楼89号房,lng:113.808678|lat:22.723661
4403000000023099,大王山,0755-23202550,沙井街道,宝安区沙井街道大王山工业二路（百合雅苑）三楼大王山社区党群服务中心,lng:113.80668|lat:22.713089
4403000000023100,马安山,0755-27220684,沙井街道,宝安区沙井街道马安山社区西区111号,lng:113.830294|lat:22.735361
4403000000023101,辛养,0755-29693006,沙井街道,宝安区沙井街道环镇路145号-1辛养党群服务中心,lng:113.811472|lat:22.739222
4403000000023102,东塘,0755-27281631,沙井街道,宝安区沙井街道东塘大街9号,lng:113.808203|lat:22.733555
4403000000023103,和一,0755-81722938,沙井街道,宝安区沙井街道和一社区和二一路39-1号和悦苑一二层,lng:113.786784|lat:22.711487
4403000000023104,楼村,0755-27116441,新湖街道,光明区新湖街道楼村社区绘猫路38,lng:113.92567|lat:22.779925
4403000000023105,共和,0755-23235881,沙井街道,宝安区沙井街道共和第二工业区A区1栋,lng:113.830294|lat:22.735361
4403000000023106,凤凰,0755-27405379,凤凰街道,光明区凤凰街道凤凰社区光侨大道2580,lng:113.949325|lat:22.736829
4403000000023107,后亭,0755-23213244,沙井街道,宝安区沙井街道后亭社区大埔中路115-11,lng:113.820231|lat:22.755495
4403000000023085,沙井,0755-27728643,沙井街道,宝安区沙井街道环镇路(南)129号,lng:113.811884|lat:22.737516
4403000000023086,壆岗,0755-23016683,沙井街道,宝安区沙井街道壆岗大道228号,lng:113.823015|lat:22.732689
4403000000023108,上寮,0755-27279160,新桥街道,宝安区新桥街道广深路253号,lng:113.842264|lat:22.634662
4403000000023109,合水口,0755-23427603,马田街道,光明区马田街道合水口社区松白路5096号,lng:113.88228|lat:22.781497
4403000000023110,新桥,0755-27279250,新桥街道,宝安区新桥街道北环路110号新桥综合办公楼2楼,lng:113.83493|lat:22.739357
4403000000023111,新二,0755-27279371,新桥街道,宝安区新桥街道新二社区南美西路26号,lng:113.839815|lat:22.731303
4403000000023112,黄埔,0755-27279117,新桥街道,宝安区沙井街道东环路193号,lng:113.84677|lat:22.712508
4403000000023113,万丰,0755-27279319,新桥街道,宝安区新桥街道万丰社区万丰中路469号,lng:113.82529|lat:22.725736
4403000000023114,沙企,0755-29883283,新桥街道,宝安区沙井街道沙井中心区丽沙花都西门一楼（五支旗杆后面）,lng:113.828392|lat:22.716583
4403000000023115,东方,0755-29898286,松岗街道,宝安区东方股份合作公司大楼一、二楼,lng:113.845388|lat:22.761714
4403000000023116,松涛,0755-27716721,松岗街道,宝安区松岗街道河滨南路1号,lng:113.837207|lat:22.768402
4403000000023041,凤凰岗,0755-27781671,西乡街道,宝安区西乡街道凤凰岗社区宝田一路152号,lng:113.88071|lat:22.596003
4403000000023117,马山头,0755-23191206,马田街道,光明区马田街道马山头社区马山头路18号,lng:113.88074|lat:22.777703
4403000000023118,朗下,0755-27138980,松岗街道,宝安区沙江路与高速桥辅道交叉口北150米朗下社区中海西岸华府北区12栋B座一楼（朗下社区党群服务中心）,lng:113.819422|lat:22.769939
4403000000023119,红星,0755-27092663,松岗街道,宝安区红星大道13号红星社区党群服务中心大楼,lng:113.840907|lat:22.765109
4403000000023120,江边,0755-27137337,松岗街道,宝安区松岗街道江边社区工作站（松兴路江边村委公交站旁边）,lng:113.816671|lat:22.772222
4403000000023121,花果山,0755-27710819,松岗街道,宝安区松岗街道环城路花果山商场二巷2号,lng:113.844323|lat:22.771238
4403000000023122,坝光,0755-84234862,葵涌办事处,大鹏新区葵涌办事处丰树山路1号坝光新村8号楼6楼,lng:114.406514|lat:22.63755
4403000000023123,高源,0755-84207233,葵涌办事处,大鹏新区葵涌办事处金葵东路北5号1楼,lng:114.437146|lat:22.628976
4403000000023124,楼岗,0755-23074686,松岗街道,宝安区松岗街道楼岗大道46号办公大楼二楼,lng:113.85888|lat:22.76581
4403000000023125,潭头,0755-27061315,松岗街道,宝安区松岗街道潭头社区工作站（潭头西路66号附近）,lng:113.843375|lat:22.747937
4403000000023126,碧头,0755-27053148,松岗街道,宝安区松岗街道碧头社区许屋路2号党群服务中心大楼（原治安综合大楼）,lng:113.809993|lat:22.780286
